log_id,game_id,timestamp,category,type,turn,player,phase,card_target,card_source,card_count
150,,2025-04-13T06:50:12.462,phase,PHASE_START,10,3,start,,,
151,,2025-04-13T06:50:12.463,phase,PHASE_END,10,3,start,,,
152,,2025-04-13T06:50:12.463,phase,PHASE_START,10,3,action,,,
153,,2025-04-13T06:50:12.464,phase,PHASE_END,10,3,action,,,
154,,2025-04-13T06:50:12.464,phase,PHASE_START,10,3,buy,,,
155,,2025-04-13T06:50:12.464,effect,CARD_PLAY,10,3,buy,Copper,,1
156,,2025-04-13T06:50:12.465,effect,CARD_PLAY,10,3,buy,Copper,,1
157,,2025-04-13T06:50:12.465,effect,CARD_PLAY,10,3,buy,Copper,,1
158,,2025-04-13T06:50:12.466,effect,CARD_PLAY,10,3,buy,Copper,,1
159,,2025-04-13T06:50:12.466,effect,CARD_PLAY,10,3,buy,Copper,,1
160,,2025-04-13T06:50:12.467,effect,CARD_BUY,10,3,buy,Laboratory,,1
161,,2025-04-13T06:50:12.467,phase,PHASE_END,10,3,buy,,,
162,,2025-04-13T06:50:12.468,phase,PHASE_START,10,3,cleanup,,,
163,,2025-04-13T06:50:12.468,phase,PHASE_END,10,3,cleanup,,,
164,,2025-04-13T06:50:12.513,turn,TURN_END,10,3,,,,
165,,2025-04-13T06:50:12.513,turn,TURN_START,11,4,,,,
166,,2025-04-13T06:50:12.514,phase,PHASE_START,11,4,start,,,
167,,2025-04-13T06:50:12.514,phase,PHASE_END,11,4,start,,,
168,,2025-04-13T06:50:12.514,phase,PHASE_START,11,4,action,,,
169,,2025-04-13T06:50:12.515,effect,CARD_PLAY,11,4,action,Laboratory,,1
170,,2025-04-13T06:50:12.515,phase,PHASE_END,11,4,action,,,
171,,2025-04-13T06:50:12.516,phase,PHASE_START,11,4,buy,,,
172,,2025-04-13T06:50:12.516,effect,CARD_PLAY,11,4,buy,Copper,,1
173,,2025-04-13T06:50:12.516,effect,CARD_PLAY,11,4,buy,Copper,,1
174,,2025-04-13T06:50:12.517,effect,CARD_PLAY,11,4,buy,Copper,,1
175,,2025-04-13T06:50:12.517,effect,CARD_BUY,11,4,buy,Copper,,1
176,,2025-04-13T06:50:12.518,phase,PHASE_END,11,4,buy,,,
177,,2025-04-13T06:50:12.518,phase,PHASE_START,11,4,cleanup,,,
178,,2025-04-13T06:50:12.519,phase,PHASE_END,11,4,cleanup,,,
179,,2025-04-13T06:50:12.52,turn,TURN_END,11,4,,,,
180,,2025-04-13T06:50:12.52,turn,TURN_START,12,1,,,,
181,,2025-04-13T06:50:12.521,phase,PHASE_START,12,1,start,,,
182,,2025-04-13T06:50:12.521,phase,PHASE_END,12,1,start,,,
183,,2025-04-13T06:50:12.522,phase,PHASE_START,12,1,action,,,
184,,2025-04-13T06:50:12.522,phase,PHASE_END,12,1,action,,,
185,,2025-04-13T06:50:12.523,phase,PHASE_START,12,1,buy,,,
186,,2025-04-13T06:50:12.523,effect,CARD_PLAY,12,1,buy,Copper,,1
187,,2025-04-13T06:50:12.523,effect,CARD_PLAY,12,1,buy,Copper,,1
188,,2025-04-13T06:50:12.525,effect,CARD_PLAY,12,1,buy,Copper,,1
189,,2025-04-13T06:50:12.525,effect,CARD_PLAY,12,1,buy,Copper,,1
190,,2025-04-13T06:50:12.526,effect,CARD_PLAY,12,1,buy,Copper,,1
191,,2025-04-13T06:50:12.571,effect,CARD_BUY,12,1,buy,Laboratory,,1
192,,2025-04-13T06:50:12.571,phase,PHASE_END,12,1,buy,,,
193,,2025-04-13T06:50:12.572,phase,PHASE_START,12,1,cleanup,,,
194,,2025-04-13T06:50:12.572,phase,PHASE_END,12,1,cleanup,,,
195,,2025-04-13T06:50:12.573,turn,TURN_END,12,1,,,,
196,,2025-04-13T06:50:12.573,turn,TURN_START,13,2,,,,
197,,2025-04-13T06:50:12.574,phase,PHASE_START,13,2,start,,,
198,,2025-04-13T06:50:12.574,phase,PHASE_END,13,2,start,,,
199,,2025-04-13T06:50:12.574,phase,PHASE_START,13,2,action,,,
200,,2025-04-13T06:50:12.575,phase,PHASE_END,13,2,action,,,
201,,2025-04-13T06:50:12.575,phase,PHASE_START,13,2,buy,,,
202,,2025-04-13T06:50:12.576,effect,CARD_PLAY,13,2,buy,Copper,,1
203,,2025-04-13T06:50:12.576,effect,CARD_PLAY,13,2,buy,Copper,,1
204,,2025-04-13T06:50:12.577,effect,CARD_PLAY,13,2,buy,Copper,,1
205,,2025-04-13T06:50:12.578,effect,CARD_PLAY,13,2,buy,Copper,,1
206,,2025-04-13T06:50:12.579,effect,CARD_BUY,13,2,buy,Copper,,1
207,,2025-04-13T06:50:12.579,phase,PHASE_END,13,2,buy,,,
208,,2025-04-13T06:50:12.58,phase,PHASE_START,13,2,cleanup,,,
209,,2025-04-13T06:50:12.58,phase,PHASE_END,13,2,cleanup,,,
210,,2025-04-13T06:50:12.581,turn,TURN_END,13,2,,,,
211,,2025-04-13T06:50:12.581,turn,TURN_START,14,3,,,,
212,,2025-04-13T06:50:12.582,phase,PHASE_START,14,3,start,,,
213,,2025-04-13T06:50:12.582,phase,PHASE_END,14,3,start,,,
214,,2025-04-13T06:50:12.583,phase,PHASE_START,14,3,action,,,
215,,2025-04-13T06:50:12.583,effect,CARD_PLAY,14,3,action,Laboratory,,1
216,,2025-04-13T06:50:12.584,phase,PHASE_END,14,3,action,,,
217,,2025-04-13T06:50:12.585,phase,PHASE_START,14,3,buy,,,
218,,2025-04-13T06:50:12.586,effect,CARD_PLAY,14,3,buy,Copper,,1
219,,2025-04-13T06:50:12.586,effect,CARD_PLAY,14,3,buy,Copper,,1
